email,label
Your account statement for this month is ready. Please log in to your official bank app to view it.,legitimate
Urgent: your account has been suspended. Verify your password immediately using the link provided.,phishing
"Hi team, please find the meeting agenda attached for tomorrow's project discussion.",legitimate
Your parcel delivery failed. Pay a small redelivery fee now to release your package.,phishing
Reminder: your university class starts at 10:00 AM in Room 204.,legitimate
Security alert: unusual login detected. Click here to confirm your username and password.,phishing
Your electricity bill is now available. Please check it through the official customer portal.,legitimate
"Congratulations, you have won a gift card. Enter your bank details to claim your prize.",phishing
"Dear customer, your appointment has been confirmed for Friday at 2:30 PM.",legitimate
Final warning: your email storage is full. Login now or your mailbox will be deleted.,phishing
Please review the attached weekly report before our Monday meeting.,legitimate
ATO refund pending. Submit your card details today to receive your tax refund.,phishing
"Your password was changed successfully. If this was not you, contact support through the official website.",legitimate
We noticed suspicious activity. Download this file and run it to secure your computer.,phishing
Thank you for your payment. Your receipt is attached for your records.,legitimate
Your Netflix payment failed. Update your billing information immediately to avoid cancellation.,phishing
Your order has been shipped and tracking details are available in your account.,legitimate
Your bank account will be locked in 24 hours. Confirm your login details now.,phishing
The HR team has updated the leave policy. Please read the document on the staff portal.,legitimate
You have received a secure document. Enter your email password to open it.,phishing
